optimizer_name,benchmark_suite,f_id,i_id,precision
DE,cec2017,15,1,4.633539468794879
DE,cec2017,16,1,4.018178999504585
DE,cec2017,17,1,22.492139096733695
DE,cec2017,18,1,20.953965466968725
DE,cec2017,19,1,3.5113985113835042
DE,cec2017,20,1,19.69832253017171
DE,cec2017,21,1,215.03747095179597
DE,cec2017,22,1,104.40868416814305
DE,cec2017,23,1,311.68288607486875
DE,cec2017,24,1,342.25984912438116
DE,cec2017,25,1,434.58113805066546
DE,cec2017,26,1,303.7303127596633
DE,cec2017,27,1,394.94266427280036
DE,cec2017,28,1,387.4536867978893
DE,cec2017,29,1,256.2854425337209
RealSpacePSO,bbob,1,1,1.5754054061289935e-08
RealSpacePSO,bbob,1,2,1.6444090533696e-08
RealSpacePSO,bbob,1,3,1.703290308796568e-08
RealSpacePSO,bbob,1,4,1.4809685922045901e-08
RealSpacePSO,bbob,1,5,2.014394517857454e-08
RealSpacePSO,bbob,2,1,1.802635551939602e-08
RealSpacePSO,bbob,2,2,1.8568414361652685e-08
RealSpacePSO,bbob,2,3,1.92206854876531e-08
RealSpacePSO,bbob,2,4,1.8431393300488708e-08
RealSpacePSO,bbob,2,5,1.9193294065189548e-08
RealSpacePSO,bbob,3,1,11.442021615162957
RealSpacePSO,bbob,3,2,10.447062552213552
RealSpacePSO,bbob,3,3,14.426883643332417
RealSpacePSO,bbob,3,4,10.447062546775191
RealSpacePSO,bbob,3,5,11.939498620419016
RealSpacePSO,bbob,4,1,16.914278765327737
RealSpacePSO,bbob,4,2,14.426886159433245
RealSpacePSO,bbob,4,3,16.41680175331753
RealSpacePSO,bbob,4,4,13.431927102576855
RealSpacePSO,bbob,4,5,16.91428886355976
RealSpacePSO,bbob,5,1,10.736927907075504
RealSpacePSO,bbob,5,2,13.545153535706959
RealSpacePSO,bbob,5,3,15.637824248363785
RealSpacePSO,bbob,5,4,11.41315439721103
RealSpacePSO,bbob,5,5,15.677712103419566
RealSpacePSO,bbob,6,1,1.635226709595372e-08
RealSpacePSO,bbob,6,2,1.4995235275705454e-08
RealSpacePSO,bbob,6,3,1.5707485090388218e-08
RealSpacePSO,bbob,6,4,1.544307792755717e-08
RealSpacePSO,bbob,6,5,1.551495643070666e-08
RealSpacePSO,bbob,7,1,4.575891558856242
RealSpacePSO,bbob,7,2,3.0857499502846792
RealSpacePSO,bbob,7,3,4.889242774465662
RealSpacePSO,bbob,7,4,1.3930601391452893
RealSpacePSO,bbob,7,5,3.2534912518849453
RealSpacePSO,bbob,8,1,0.00048812803855469156
RealSpacePSO,bbob,8,2,0.0009865596082931916
RealSpacePSO,bbob,8,3,0.0004084491047322558
RealSpacePSO,bbob,8,4,9.706455011126991e-05
RealSpacePSO,bbob,8,5,0.00025629651575442836
RealSpacePSO,bbob,9,1,0.04023199433824942
RealSpacePSO,bbob,9,2,0.05908493107168411
RealSpacePSO,bbob,9,3,0.11108203002729056
RealSpacePSO,bbob,9,4,0.0771698156803069
RealSpacePSO,bbob,9,5,0.0390231531425016
RealSpacePSO,bbob,10,1,128.6601178492559
RealSpacePSO,bbob,10,2,125.70161053062041
RealSpacePSO,bbob,10,3,68.14092286122892
RealSpacePSO,bbob,10,4,166.63830845130917
RealSpacePSO,bbob,10,5,87.7288129206841
RealSpacePSO,bbob,11,1,8.37104066175285
RealSpacePSO,bbob,11,2,11.415312570387973
RealSpacePSO,bbob,11,3,12.60935380593576
RealSpacePSO,bbob,11,4,23.67515821829636
RealSpacePSO,bbob,11,5,14.582516322791001
RealSpacePSO,bbob,12,1,1.8044907187321542
RealSpacePSO,bbob,12,2,1.164506067686247
RealSpacePSO,bbob,12,3,1.4924609887919225
RealSpacePSO,bbob,12,4,3.972060915374559
RealSpacePSO,bbob,12,5,6.211651075855084
RealSpacePSO,bbob,13,1,6.213625379259227
RealSpacePSO,bbob,13,2,7.307469317996656
RealSpacePSO,bbob,13,3,9.36113939222281
RealSpacePSO,bbob,13,4,4.381437913057312
RealSpacePSO,bbob,13,5,7.228492914822567
RealSpacePSO,bbob,14,1,1.7014152529526427e-05
RealSpacePSO,bbob,14,2,2.6591358718519587e-05
RealSpacePSO,bbob,14,3,2.145862425351197e-05
RealSpacePSO,bbob,14,4,1.9279392532212114e-05
RealSpacePSO,bbob,14,5,2.4653855916767498e-05
RealSpacePSO,bbob,15,1,25.371380188739863
RealSpacePSO,bbob,15,2,17.41175829338121
RealSpacePSO,bbob,15,3,18.406714829742285
RealSpacePSO,bbob,15,4,21.888998138869475
RealSpacePSO,bbob,15,5,21.889058919198973
RealSpacePSO,bbob,16,1,2.006197550009766
RealSpacePSO,bbob,16,2,1.6065890621460142
RealSpacePSO,bbob,16,3,1.36448521759948
RealSpacePSO,bbob,16,4,2.021455972988747
RealSpacePSO,bbob,16,5,1.9715258746108546
RealSpacePSO,bbob,17,1,0.268692390474671
RealSpacePSO,bbob,17,2,0.23448111087049384
RealSpacePSO,bbob,17,3,0.3640210616279944
RealSpacePSO,bbob,17,4,0.49062354961715116
RealSpacePSO,bbob,17,5,0.6724071575491166
RealSpacePSO,bbob,18,1,0.8328105703077089
RealSpacePSO,bbob,18,2,2.4921249888747834
RealSpacePSO,bbob,18,3,1.1425837950526443
RealSpacePSO,bbob,18,4,2.3011587081963256
RealSpacePSO,bbob,18,5,2.006401485621751
RealSpacePSO,bbob,19,1,0.764903418362259
RealSpacePSO,bbob,19,2,0.7125535814956336
RealSpacePSO,bbob,19,3,0.6452651950690438
RealSpacePSO,bbob,19,4,0.638213706555387
RealSpacePSO,bbob,19,5,0.8677232945477726
RealSpacePSO,bbob,20,1,1.2436462980696774
